BANCO;MONTO;PERFIL;FECHA
CREDICORP, S. A.;52780;CAPITAL;2021/04/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5603350;ACTIVO;2021/05/31
INMOBILIARIO, S. A.;2010207;ACTIVO;2021/05/31
DE LOS TRABAJADORES;28887509;ACTIVO;2021/05/31
INDUSTRIAL, S. A.;112844349;ACTIVO;2021/05/31
DE DESARROLLO RURAL, S. A.;88765495;ACTIVO;2021/05/31
INTERNACIONAL, S. A.;11480163;ACTIVO;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4229080;ACTIVO;2021/05/31
VIVIBANCO, S. A.;773247;ACTIVO;2021/05/31
FICOHSA GUATEMALA, S. A.;3189467;ACTIVO;2021/05/31
PROMERICA, S. A.;18600360;ACTIVO;2021/05/31
DE ANTIGUA, S. A.;1455811;ACTIVO;2021/05/31
DE AMÉRICA CENTRAL, S. A.;34241674;ACTIVO;2021/05/31
AGROMERCANTIL DE GUATEMALA, S. A.;32111207;ACTIVO;2021/05/31
G&T CONTINENTAL, S. A.;56792070;ACTIVO;2021/05/31
AZTECA DE GUATEMALA, S. A.;1975132;ACTIVO;2021/05/31
INV, S. A.;892368;ACTIVO;2021/05/31
CREDICORP, S. A.;505062;ACTIVO;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5310799;PASIVO;2021/05/31
INMOBILIARIO, S. A.;1670702;PASIVO;2021/05/31
DE LOS TRABAJADORES;24834384;PASIVO;2021/05/31
INDUSTRIAL, S. A.;104174738;PASIVO;2021/05/31
DE DESARROLLO RURAL, S. A.;80642851;PASIVO;2021/05/31
INTERNACIONAL, S. A.;10422292;PASIVO;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3858680;PASIVO;2021/05/31
VIVIBANCO, S. A.;618676;PASIVO;2021/05/31
FICOHSA GUATEMALA, S. A.;2861165;PASIVO;2021/05/31
PROMERICA, S. A.;16908350;PASIVO;2021/05/31
DE ANTIGUA, S. A.;1340736;PASIVO;2021/05/31
DE AMÉRICA CENTRAL, S. A.;31109129;PASIVO;2021/05/31
AGROMERCANTIL DE GUATEMALA, S. A.;29220384;PASIVO;2021/05/31
G&T CONTINENTAL, S. A.;51571478;PASIVO;2021/05/31
AZTECA DE GUATEMALA, S. A.;1342920;PASIVO;2021/05/31
INV, S. A.;770735;PASIVO;2021/05/31
CREDICORP, S. A.;451678;PASIVO;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;292552;CAPITAL;2021/05/31
INMOBILIARIO, S. A.;339505;CAPITAL;2021/05/31
DE LOS TRABAJADORES;4053125;CAPITAL;2021/05/31
INDUSTRIAL, S. A.;8669612;CAPITAL;2021/05/31
DE DESARROLLO RURAL, S. A.;8122645;CAPITAL;2021/05/31
INTERNACIONAL, S. A.;1057871;CAPITAL;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;370401;CAPITAL;2021/05/31
VIVIBANCO, S. A.;154571;CAPITAL;2021/05/31
FICOHSA GUATEMALA, S. A.;328302;CAPITAL;2021/05/31
PROMERICA, S. A.;1692010;CAPITAL;2021/05/31
DE ANTIGUA, S. A.;115076;CAPITAL;2021/05/31
DE AMÉRICA CENTRAL, S. A.;3132545;CAPITAL;2021/05/31
AGROMERCANTIL DE GUATEMALA, S. A.;2890823;CAPITAL;2021/05/31
G&T CONTINENTAL, S. A.;5220592;CAPITAL;2021/05/31
AZTECA DE GUATEMALA, S. A.;632212;CAPITAL;2021/05/31
INV, S. A.;121634;CAPITAL;2021/05/31
CREDICORP, S. A.;53384;CAPITAL;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5697101;ACTIVO;2021/06/30
INMOBILIARIO, S. A.;2040048;ACTIVO;2021/06/30
DE LOS TRABAJADORES;29401801;ACTIVO;2021/06/30
INDUSTRIAL, S. A.;112157910;ACTIVO;2021/06/30
DE DESARROLLO RURAL, S. A.;89306747;ACTIVO;2021/06/30
INTERNACIONAL, S. A.;11606405;ACTIVO;2021/06/30
CITIBANK, N.A., SUCURSAL GUATEMALA;4327959;ACTIVO;2021/06/30
VIVIBANCO, S. A.;758676;ACTIVO;2021/06/30
FICOHSA GUATEMALA, S. A.;3308694;ACTIVO;2021/06/30
PROMERICA, S. A.;18754447;ACTIVO;2021/06/30
DE ANTIGUA, S. A.;1461456;ACTIVO;2021/06/30
DE AMÉRICA CENTRAL, S. A.;34088317;ACTIVO;2021/06/30
AGROMERCANTIL DE GUATEMALA, S. A.;32407601;ACTIVO;2021/06/30
G&T CONTINENTAL, S. A.;58326895;ACTIVO;2021/06/30
AZTECA DE GUATEMALA, S. A.;1992287;ACTIVO;2021/06/30
INV, S. A.;890923;ACTIVO;2021/06/30
CREDICORP, S. A.;503984;ACTIVO;2021/06/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5394659;PASIVO;2021/06/30
INMOBILIARIO, S. A.;1699113;PASIVO;2021/06/30
DE LOS TRABAJADORES;25278440;PASIVO;2021/06/30
INDUSTRIAL, S. A.;103325518;PASIVO;2021/06/30
DE DESARROLLO RURAL, S. A.;81077435;PASIVO;2021/06/30
INTERNACIONAL, S. A.;10535395;PASIVO;2021/06/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3940159;PASIVO;2021/06/30
VIVIBANCO, S. A.;602848;PASIVO;2021/06/30
FICOHSA GUATEMALA, S. A.;2973152;PASIVO;2021/06/30
PROMERICA, S. A.;17062140;PASIVO;2021/06/30
DE ANTIGUA, S. A.;1345850;PASIVO;2021/06/30
DE AMÉRICA CENTRAL, S. A.;30917739;PASIVO;2021/06/30
AGROMERCANTIL DE GUATEMALA, S. A.;29470436;PASIVO;2021/06/30
G&T CONTINENTAL, S. A.;53014694;PASIVO;2021/06/30
AZTECA DE GUATEMALA, S. A.;1350817;PASIVO;2021/06/30
INV, S. A.;768414;PASIVO;2021/06/30
CREDICORP, S. A.;449839;PASIVO;2021/06/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;302441;CAPITAL;2021/06/30
INMOBILIARIO, S. A.;340935;CAPITAL;2021/06/30
DE LOS TRABAJADORES;4123362;CAPITAL;2021/06/30
INDUSTRIAL, S. A.;8832393;CAPITAL;2021/06/30
DE DESARROLLO RURAL, S. A.;8229312;CAPITAL;2021/06/30
INTERNACIONAL, S. A.;1071010;CAPITAL;2021/06/30
CITIBANK, N.A., SUCURSAL GUATEMALA;387800;CAPITAL;2021/06/30
VIVIBANCO, S. A.;155829;CAPITAL;2021/06/30
FICOHSA GUATEMALA, S. A.;335542;CAPITAL;2021/06/30
PROMERICA, S. A.;1692306;CAPITAL;2021/06/30
DE ANTIGUA, S. A.;115606;CAPITAL;2021/06/30
DE AMÉRICA CENTRAL, S. A.;3170578;CAPITAL;2021/06/30
AGROMERCANTIL DE GUATEMALA, S. A.;2937165;CAPITAL;2021/06/30
G&T CONTINENTAL, S. A.;5312201;CAPITAL;2021/06/30
AZTECA DE GUATEMALA, S. A.;641469;CAPITAL;2021/06/30
INV, S. A.;122509;CAPITAL;2021/06/30
CREDICORP, S. A.;54145;CAPITAL;2021/06/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5573490;ACTIVO;2021/07/31
INMOBILIARIO, S. A.;2056943;ACTIVO;2021/07/31
DE LOS TRABAJADORES;29673630;ACTIVO;2021/07/31
INDUSTRIAL, S. A.;116070499;ACTIVO;2021/07/31
DE DESARROLLO RURAL, S. A.;91018509;ACTIVO;2021/07/31
INTERNACIONAL, S. A.;11993491;ACTIVO;2021/07/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3933182;ACTIVO;2021/07/31
VIVIBANCO, S. A.;761006;ACTIVO;2021/07/31
FICOHSA GUATEMALA, S. A.;3295446;ACTIVO;2021/07/31
PROMERICA, S. A.;18930936;ACTIVO;2021/07/31
DE ANTIGUA, S. A.;1469913;ACTIVO;2021/07/31
DE AMÉRICA CENTRAL, S. A.;33734254;ACTIVO;2021/07/31
AGROMERCANTIL DE GUATEMALA, S. A.;32411419;ACTIVO;2021/07/31
G&T CONTINENTAL, S. A.;59419330;ACTIVO;2021/07/31
AZTECA DE GUATEMALA, S. A.;1997823;ACTIVO;2021/07/31
INV, S. A.;907060;ACTIVO;2021/07/31
CREDICORP, S. A.;507522;ACTIVO;2021/07/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5295979;PASIVO;2021/07/31
INMOBILIARIO, S. A.;1713945;PASIVO;2021/07/31
DE LOS TRABAJADORES;25482561;PASIVO;2021/07/31
INDUSTRIAL, S. A.;107068050;PASIVO;2021/07/31
DE DESARROLLO RURAL, S. A.;82691485;PASIVO;2021/07/31
INTERNACIONAL, S. A.;10909739;PASIVO;2021/07/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3630783;PASIVO;2021/07/31
VIVIBANCO, S. A.;604527;PASIVO;2021/07/31
FICOHSA GUATEMALA, S. A.;2951320;PASIVO;2021/07/31
PROMERICA, S. A.;17209200;PASIVO;2021/07/31
DE ANTIGUA, S. A.;1354030;PASIVO;2021/07/31
DE AMÉRICA CENTRAL, S. A.;30556609;PASIVO;2021/07/31
AGROMERCANTIL DE GUATEMALA, S. A.;29423233;PASIVO;2021/07/31
G&T CONTINENTAL, S. A.;54055231;PASIVO;2021/07/31
AZTECA DE GUATEMALA, S. A.;1342423;PASIVO;2021/07/31
INV, S. A.;782810;PASIVO;2021/07/31
CREDICORP, S. A.;452624;PASIVO;2021/07/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;277511;CAPITAL;2021/07/31
INMOBILIARIO, S. A.;342997;CAPITAL;2021/07/31
DE LOS TRABAJADORES;4191069;CAPITAL;2021/07/31
INDUSTRIAL, S. A.;9002449;CAPITAL;2021/07/31
DE DESARROLLO RURAL, S. A.;8327024;CAPITAL;2021/07/31
INTERNACIONAL, S. A.;1083752;CAPITAL;2021/07/31
CITIBANK, N.A., SUCURSAL GUATEMALA;302399;CAPITAL;2021/07/31
VIVIBANCO, S. A.;156479;CAPITAL;2021/07/31
FICOHSA GUATEMALA, S. A.;344126;CAPITAL;2021/07/31
PROMERICA, S. A.;1721736;CAPITAL;2021/07/31
DE ANTIGUA, S. A.;115883;CAPITAL;2021/07/31
DE AMÉRICA CENTRAL, S. A.;3177644;CAPITAL;2021/07/31
AGROMERCANTIL DE GUATEMALA, S. A.;2988187;CAPITAL;2021/07/31
G&T CONTINENTAL, S. A.;5364098;CAPITAL;2021/07/31
AZTECA DE GUATEMALA, S. A.;655400;CAPITAL;2021/07/31
INV, S. A.;124250;CAPITAL;2021/07/31
CREDICORP, S. A.;54898;CAPITAL;2021/07/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5773458;ACTIVO;2021/08/31
INMOBILIARIO, S. A.;2044948;ACTIVO;2021/08/31
DE LOS TRABAJADORES;30001132;ACTIVO;2021/08/31
INDUSTRIAL, S. A.;116110075;ACTIVO;2021/08/31
DE DESARROLLO RURAL, S. A.;91047476;ACTIVO;2021/08/31
INTERNACIONAL, S. A.;11909935;ACTIVO;2021/08/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3843377;ACTIVO;2021/08/31
VIVIBANCO, S. A.;779308;ACTIVO;2021/08/31
FICOHSA GUATEMALA, S. A.;3269332;ACTIVO;2021/08/31
PROMERICA, S. A.;18996017;ACTIVO;2021/08/31
DE ANTIGUA, S. A.;1470590;ACTIVO;2021/08/31
DE AMÉRICA CENTRAL, S. A.;33548261;ACTIVO;2021/08/31
AGROMERCANTIL DE GUATEMALA, S. A.;32191720;ACTIVO;2021/08/31
G&T CONTINENTAL, S. A.;59560609;ACTIVO;2021/08/31
AZTECA DE GUATEMALA, S. A.;2032570;ACTIVO;2021/08/31
INV, S. A.;895404;ACTIVO;2021/08/31
CREDICORP, S. A.;536807;ACTIVO;2021/08/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5486153;PASIVO;2021/08/31
INMOBILIARIO, S. A.;1701380;PASIVO;2021/08/31
DE LOS TRABAJADORES;25735495;PASIVO;2021/08/31
INDUSTRIAL, S. A.;106951178;PASIVO;2021/08/31
DE DESARROLLO RURAL, S. A.;82527220;PASIVO;2021/08/31
INTERNACIONAL, S. A.;10812985;PASIVO;2021/08/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3535972;PASIVO;2021/08/31
VIVIBANCO, S. A.;622154;PASIVO;2021/08/31
FICOHSA GUATEMALA, S. A.;2919395;PASIVO;2021/08/31
PROMERICA, S. A.;17272498;PASIVO;2021/08/31
DE ANTIGUA, S. A.;1354440;PASIVO;2021/08/31
DE AMÉRICA CENTRAL, S. A.;30323223;PASIVO;2021/08/31
AGROMERCANTIL DE GUATEMALA, S. A.;29153857;PASIVO;2021/08/31
G&T CONTINENTAL, S. A.;54159859;PASIVO;2021/08/31
AZTECA DE GUATEMALA, S. A.;1366508;PASIVO;2021/08/31
INV, S. A.;770341;PASIVO;2021/08/31
CREDICORP, S. A.;481470;PASIVO;2021/08/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;287306;CAPITAL;2021/08/31
INMOBILIARIO, S. A.;343568;CAPITAL;2021/08/31
DE LOS TRABAJADORES;4265637;CAPITAL;2021/08/31
INDUSTRIAL, S. A.;9158897;CAPITAL;2021/08/31
DE DESARROLLO RURAL, S. A.;8520256;CAPITAL;2021/08/31
INTERNACIONAL, S. A.;1096950;CAPITAL;2021/08/31
CITIBANK, N.A., SUCURSAL GUATEMALA;307405;CAPITAL;2021/08/31
VIVIBANCO, S. A.;157154;CAPITAL;2021/08/31
FICOHSA GUATEMALA, S. A.;349937;CAPITAL;2021/08/31
PROMERICA, S. A.;1723519;CAPITAL;2021/08/31
DE ANTIGUA, S. A.;116150;CAPITAL;2021/08/31
DE AMÉRICA CENTRAL, S. A.;3225038;CAPITAL;2021/08/31
AGROMERCANTIL DE GUATEMALA, S. A.;3037863;CAPITAL;2021/08/31
G&T CONTINENTAL, S. A.;5400750;CAPITAL;2021/08/31
AZTECA DE GUATEMALA, S. A.;666062;CAPITAL;2021/08/31
INV, S. A.;125064;CAPITAL;2021/08/31
CREDICORP, S. A.;55337;CAPITAL;2021/08/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5809277;ACTIVO;2021/09/30
INMOBILIARIO, S. A.;2060595;ACTIVO;2021/09/30
DE LOS TRABAJADORES;30278076;ACTIVO;2021/09/30
INDUSTRIAL, S. A.;115984105;ACTIVO;2021/09/30
DE DESARROLLO RURAL, S. A.;91460417;ACTIVO;2021/09/30
INTERNACIONAL, S. A.;11764199;ACTIVO;2021/09/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3805357;ACTIVO;2021/09/30
VIVIBANCO, S. A.;779006;ACTIVO;2021/09/30
FICOHSA GUATEMALA, S. A.;3249575;ACTIVO;2021/09/30
PROMERICA, S. A.;19061136;ACTIVO;2021/09/30
DE ANTIGUA, S. A.;1485212;ACTIVO;2021/09/30
DE AMÉRICA CENTRAL, S. A.;34199384;ACTIVO;2021/09/30
AGROMERCANTIL DE GUATEMALA, S. A.;33320286;ACTIVO;2021/09/30
G&T CONTINENTAL, S. A.;59561468;ACTIVO;2021/09/30
AZTECA DE GUATEMALA, S. A.;2056519;ACTIVO;2021/09/30
INV, S. A.;894188;ACTIVO;2021/09/30
CREDICORP, S. A.;563242;ACTIVO;2021/09/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5515940;PASIVO;2021/09/30
INMOBILIARIO, S. A.;1716839;PASIVO;2021/09/30
DE LOS TRABAJADORES;25937821;PASIVO;2021/09/30
INDUSTRIAL, S. A.;106619629;PASIVO;2021/09/30
DE DESARROLLO RURAL, S. A.;82843352;PASIVO;2021/09/30
INTERNACIONAL, S. A.;10652823;PASIVO;2021/09/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3492143;PASIVO;2021/09/30
VIVIBANCO, S. A.;621122;PASIVO;2021/09/30
FICOHSA GUATEMALA, S. A.;2893180;PASIVO;2021/09/30
PROMERICA, S. A.;17328491;PASIVO;2021/09/30
DE ANTIGUA, S. A.;1368805;PASIVO;2021/09/30
DE AMÉRICA CENTRAL, S. A.;30875227;PASIVO;2021/09/30
AGROMERCANTIL DE GUATEMALA, S. A.;30234188;PASIVO;2021/09/30
G&T CONTINENTAL, S. A.;54007615;PASIVO;2021/09/30
AZTECA DE GUATEMALA, S. A.;1381735;PASIVO;2021/09/30
INV, S. A.;768258;PASIVO;2021/09/30
CREDICORP, S. A.;506857;PASIVO;2021/09/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;293338;CAPITAL;2021/09/30
INMOBILIARIO, S. A.;343756;CAPITAL;2021/09/30
DE LOS TRABAJADORES;4340254;CAPITAL;2021/09/30
INDUSTRIAL, S. A.;9364476;CAPITAL;2021/09/30
DE DESARROLLO RURAL, S. A.;8617066;CAPITAL;2021/09/30
INTERNACIONAL, S. A.;1111376;CAPITAL;2021/09/30
CITIBANK, N.A., SUCURSAL GUATEMALA;313215;CAPITAL;2021/09/30
VIVIBANCO, S. A.;157885;CAPITAL;2021/09/30
FICOHSA GUATEMALA, S. A.;356395;CAPITAL;2021/09/30
PROMERICA, S. A.;1732645;CAPITAL;2021/09/30
DE ANTIGUA, S. A.;116406;CAPITAL;2021/09/30
DE AMÉRICA CENTRAL, S. A.;3324157;CAPITAL;2021/09/30
AGROMERCANTIL DE GUATEMALA, S. A.;3086097;CAPITAL;2021/09/30
G&T CONTINENTAL, S. A.;5553853;CAPITAL;2021/09/30
AZTECA DE GUATEMALA, S. A.;674784;CAPITAL;2021/09/30
INV, S. A.;125930;CAPITAL;2021/09/30
CREDICORP, S. A.;56384;CAPITAL;2021/09/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5686082;ACTIVO;2021/10/31
INMOBILIARIO, S. A.;2082353;ACTIVO;2021/10/31
DE LOS TRABAJADORES;30493687;ACTIVO;2021/10/31
INDUSTRIAL, S. A.;119259432;ACTIVO;2021/10/31
DE DESARROLLO RURAL, S. A.;92682411;ACTIVO;2021/10/31
INTERNACIONAL, S. A.;11893705;ACTIVO;2021/10/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3646202;ACTIVO;2021/10/31
VIVIBANCO, S. A.;816127;ACTIVO;2021/10/31
FICOHSA GUATEMALA, S. A.;3333620;ACTIVO;2021/10/31
PROMERICA, S. A.;18914042;ACTIVO;2021/10/31
DE ANTIGUA, S. A.;1504168;ACTIVO;2021/10/31
DE AMÉRICA CENTRAL, S. A.;35097326;ACTIVO;2021/10/31
AGROMERCANTIL DE GUATEMALA, S. A.;32880175;ACTIVO;2021/10/31
G&T CONTINENTAL, S. A.;60133950;ACTIVO;2021/10/31
AZTECA DE GUATEMALA, S. A.;2064865;ACTIVO;2021/10/31
INV, S. A.;907157;ACTIVO;2021/10/31
CREDICORP, S. A.;590360;ACTIVO;2021/10/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5382124;PASIVO;2021/10/31
INMOBILIARIO, S. A.;1739845;PASIVO;2021/10/31
DE LOS TRABAJADORES;26082654;PASIVO;2021/10/31
INDUSTRIAL, S. A.;109728440;PASIVO;2021/10/31
DE DESARROLLO RURAL, S. A.;83969569;PASIVO;2021/10/31
INTERNACIONAL, S. A.;10760062;PASIVO;2021/10/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3326769;PASIVO;2021/10/31
VIVIBANCO, S. A.;657466;PASIVO;2021/10/31
FICOHSA GUATEMALA, S. A.;2968780;PASIVO;2021/10/31
PROMERICA, S. A.;17151004;PASIVO;2021/10/31
DE ANTIGUA, S. A.;1387371;PASIVO;2021/10/31
DE AMÉRICA CENTRAL, S. A.;31750880;PASIVO;2021/10/31
AGROMERCANTIL DE GUATEMALA, S. A.;29749604;PASIVO;2021/10/31
G&T CONTINENTAL, S. A.;54529597;PASIVO;2021/10/31
AZTECA DE GUATEMALA, S. A.;1381462;PASIVO;2021/10/31
INV, S. A.;780402;PASIVO;2021/10/31
CREDICORP, S. A.;532896;PASIVO;2021/10/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;303958;CAPITAL;2021/10/31
INMOBILIARIO, S. A.;342508;CAPITAL;2021/10/31
DE LOS TRABAJADORES;4411033;CAPITAL;2021/10/31
INDUSTRIAL, S. A.;9530991;CAPITAL;2021/10/31
DE DESARROLLO RURAL, S. A.;8712841;CAPITAL;2021/10/31
INTERNACIONAL, S. A.;1133643;CAPITAL;2021/10/31
CITIBANK, N.A., SUCURSAL GUATEMALA;319433;CAPITAL;2021/10/31
VIVIBANCO, S. A.;158660;CAPITAL;2021/10/31
FICOHSA GUATEMALA, S. A.;364840;CAPITAL;2021/10/31
PROMERICA, S. A.;1763038;CAPITAL;2021/10/31
DE ANTIGUA, S. A.;116797;CAPITAL;2021/10/31
DE AMÉRICA CENTRAL, S. A.;3346447;CAPITAL;2021/10/31
AGROMERCANTIL DE GUATEMALA, S. A.;3130571;CAPITAL;2021/10/31
G&T CONTINENTAL, S. A.;5604353;CAPITAL;2021/10/31
AZTECA DE GUATEMALA, S. A.;683404;CAPITAL;2021/10/31
INV, S. A.;126754;CAPITAL;2021/10/31
CREDICORP, S. A.;57464;CAPITAL;2021/10/31
